Type,Address,alpha2code,city,postal_code,region
IPv6,2001:19f0:1000::/38,US,Piscataway,08854,US-NJ
IPv6,2001:19f0:1400::/38,US,Piscataway,08854,US-NJ
IPv6,2001:19f0:4000::/38,US,Piscataway,08854,US-NJ
IPv6,2001:19f0:a800::/38,US,Piscataway,08854,US-NJ
IPv6,2001:19f0:ac00::/38,US,Santa Clara,95054,US-CA
IPv6,2001:19f0:4400::/38,SG,Singapore,627753,SG-05
IPv6,2401:c080:1400::/38,SG,Singapore,627753,SG-05
IPv6,2001:19f0:5800::/38,AU,Alexandria,2015,AU-NSW
IPv6,2401:c080:1800::/38,AU,Alexandria,2015,AU-NSW
IPv6,2001:19f0:6800::/38,FR,AUBERVILLIERS,93300,FR-93
IPv6,2a05:f480:1c00::/38,FR,AUBERVILLIERS,93300,FR-93
IPv6,2401:c080:1c00::/38,KR,Seoul,03922,KR-11
IPv6,2001:19f0:6400::/38,US,Dallas,75201,US-TX
IPv6,2a05:f487:fc00::/48,US,Piscataway,08854,US-NJ
IPv6,2a05:f480:2000::/38,SE,Spanga,163 53,SE-AB
IPv6,2001:19f0:b400::/38,MX,Santiago de Queretaro,76246,MX-CMX
IPv6,2a05:f480:2400::/38,PL,Warsaw,02 222,PL-14
